Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
Hellpa	"Germán ""Hellpa"" Morath (born April 23, 1990) is an Argentine professional Counter-Strike: Global Offensive coach and Counter-Strike: Global Offensive player. In September 2020, Hellpa received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at 9z Team.  Additionally, Hellpa received a three Major ban in January 2021 from Valve due to exploiting the coaching bug."	Germán Morath		Argentina	April 23, 1990 (age 33)	Valve Banned		2016 – Present		Coach			Hellpopovich, Hellpo		Global Offensive		62
Hezz	"Leandro ""Hezz"" Barrios (born November 4, 2000) is an Argentinian professional Counter-Strike: Global Offensive player for River Plate Gaming."	Leandro Barrios		Argentina	November  4, 2000 (age 22)	Active	2020 – Present			AWPer	River Plate Gaming			$3,064	Global Offensive		62
JonY BoY	"Jonathan ""JonY BoY"" Muñoz (born November 13, 1991) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Jonathan Muñoz		Argentina	November 13, 1991 (age 31)	Active	2008 – Present				VELOX Argentina		J.B, jotita_be	$23,772	Global Offensive		62
KAISER	"Gianfranco ""KAISER"" Pantano (born November 17, 2000) is an Argentinian professional Counter-Strike: Global Offensive player who currently plays for Furious Gaming."	Gianfranco Pantano		Argentina	November 17, 2000 (age 22)	Active	2015 – Present				Furious Gaming			$3,666	Global Offensive		62
khizha	"Julieta ""khizha"" Grillia is an Argentinian professional Counter-Strike: Global Offensive player for MIBR Female."	Julieta Grillia		Argentina	March  5, 1999 (age 24)	Active	2017 – Present				MIBR Female			$12,942	Global Offensive		62
killermachine	"Jeremias ""killermachine"" Di Domenico (born November 29, 1985) is an Argentine professional Counter-Strike: Global Offensive coach and former Counter-Strike player."	Jeremias Di Domenico		Argentina	November 29, 1985 (age 37)	Active	2005 – 2016	2017 2021 – Present		Coach	VELOX Argentina		kMachine, kMach1ne	$579	Global Offensive		62
kissmyaug	"Ian ""kissmyaug"" Carruccio (formerly known as kissmyass) (born December 9, 1995) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Ian Carruccio		Argentina	December  9, 1995 (age 27)	Active	2011 – Present			Rifler			kissmyass	$917	Global Offensive		62
KUN	"Ezequiel ""KUN"" Palmero (born August 17, 1997) is an Argentine professional Counter-Strike: Global Offensive player."	Ezequiel Palmero		Argentina	August 17, 1997 (age 26)	Active	2016 – Present			In-game leader			ezekunnn, CARRYK	$5,820	Global Offensive		62
lenci	"Nicolás ""lenci"" Lencinas (born December 6, 1999) is an Argentine professional Counter-Strike: Global Offensive player."	Nicolás Sebastian Lencinas		Argentina	December  6, 1999 (age 23)	Active	2018 – Present			entry fragger	Boca Juniors Gaming			$6,695	Global Offensive		62
Limi7	"Martin ""Limi7"" Miozzo (born January 18, 1987) is an Argentinian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Martin Miozzo		Argentina	January 18, 1987 (age 36)	Active	2005 – Present				Belgrano Esports			$1,540	Global Offensive		62
lokomotioN	"Joaquin ""lokomotioN"" Cuevas (born May 8, 1993) is an Argentine professional Counter-Strike: Global Offensive coach, analyst and former player."	Joaquin Cuevas		Argentina	May  8, 1993 (age 30)	Active	2015 – 2017	2018 – Present	2023		Fluxo		LokomotioN	$3	Global Offensive		62
luchov	"Luciano ""luchov"" Herrera (born May 11, 2001) is an Argentine professional Counter-Strike: Global Offensive player for BESTIA."	Luciano Valentin Herrera		Argentina	May 11, 2001 (age 22)	Active	2020 – Present			entry fragger	BESTIA			$25,463	Global Offensive		62
Luken	"Luca ""Luken"" Nadotti (born March 26, 1997) is an Argentine professional Counter-Strike: Global Offensive player who is also the CEO of WINDINGO."	Luca Nadotti		Argentina	March 26, 1997 (age 26)	Active	2017 – Present						LukN, LukenSkywalker, LukenSSJGOD	$19,207	Global Offensive		62
lulitenz	"Lucia ""lulitenz"" Dubra (born March 29, 2001) is an Argentinian professional Counter-Strike: Global Offensive player."	Lucia Dubra		Argentina	March 29, 2001 (age 22)	Active	2022 – Present			entry fragger	Ravens			$8,400	Global Offensive		62
meyern	"Ignacio ""meyern"" Meyer (born September 10, 2002) is an Argentine professional Counter-Strike: Global Offensive player for BESTIA."	Ignacio Naim Meyer		Argentina	September 10, 2002 (age 21)	Active	2017 – Present			Rifler	BESTIA			$91,372	Global Offensive		62
minimal	"Facundo ""minimal"" Pereyra (born June 28, 1992) is an Argentinian professional Counter-Strike: Global Offensive player for River Plate Gaming."	Facundo Pereyra		Argentina	June 28, 1992 (age 31)	Active	2014 – Present			Rifler	River Plate Gaming			$7,200	Global Offensive		62
MRN1	"Mariano ""MRN1"" Santa Maria (born June 7, 1994) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player for VELOX Argentina."	Mariano Santa Maria		Argentina	June  7, 1994 (age 29)	Active	2011 – Present				VELOX Argentina		MRN1	$8,362	Global Offensive		62
nacho	"Ignacio ""nacho"" Rodriguez (born August 28, 2003) is an Argentinian professional Counter-Strike: Global Offensive player."	Ignacio Rodriguez		Argentina	August 28, 2003 (age 20)	Active	2019 – Present			Rifler	LRV Esports			$8,308	Global Offensive		62
nbl	"Nabil ""nbl"" Aleua (born November 12, 1996) is an Argentine professional Counter-Strike: Global Offensive player."	Nabil Manir Aleua		Argentina	November 12, 1996 (age 26)	Active	2015 – Present			entry fragger	VELOX Argentina		nabilazo	$20,475	Global Offensive		62
NCH	"Ignacio ""NCH"" Devita (born September 18, 1990) is an Argentine professional Counter-Strike: Global Offensive coach and former Counter-Strike: Global Offensive and Counter-Strike player."	Ignacio Devita		Argentina	September 18, 1990 (age 33)	Active	2011 – 2019	2019 – Present			Furious Gaming			$1,419	Global Offensive		62
nhl	"Nahuel ""nhl"" Herrera (born March 5, 1998) is an Argentine professional Counter-Strike: Global Offensive player."	Nahuel Agustin Herrera		Argentina	March  5, 1998 (age 25)	Active	2016 – Present						nhlg0d, Wonderwall	$4,633	Global Offensive		62
NikoM	"Nicolás ""NikoM"" Miozzi (born April 8, 1997) is an Argentine professional Counter-Strike: Global Offensive player."	Nicolás Miozzi		Argentina	April  8, 1997 (age 26)	Active	2015 – Present			lurker			NikoMonster	$18,525	Global Offensive		62
Noktse	"Nicolás Mariano ""Noktse"" Dávila (born January 19, 1993) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player for BESTIA."	Nicolás Mariano Dávila		Argentina	January 19, 1993 (age 30)	Active	2006 – Present				BESTIA		k0nest	$66,671	Global Offensive		62
Owen$inhoM	"Owen ""Owen$inhoM"" Veron (born June 6, 2001) is an Argentinian professional Counter-Strike: Global Offensive player for Dusty Roots."	Owen Mathias Veron		Argentina	June  6, 2001 (age 22)	Active	2018 – 2022, 2023 – Present			entry fragger	Dusty Roots		Owensinho, OwenSinhoM	$6,062	Global Offensive		62
pavv+	"Matias ""pavv+"" Pavón (born June 12, 1997) is a Argentinian professional Counter-Strike: Global Offensive player for Boca Juniors Gaming."	Matias Pavón		Argentina	June 12, 1997 (age 26)	Active	2020 – Present			Rifler	Boca Juniors Gaming		pavv	$4,650	Global Offensive		62
peqexino	"Agustin ""peqexino"" Cáceres (born May 20, 1996) is an Argentinian professional Counter-Strike: Global Offensive player for Furious Gaming."	Agustin Cáceres		Argentina	May 20, 1996 (age 27)	Active	2015 – Present			AWPer	Furious Gaming		peqexao	$6,078	Global Offensive		62
pino	"Rodrigo ""pino"" Manarino (born February 19, 1986) is an Argentinian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Rodrigo Manarino		Argentina	February 19, 1986 (age 37)	Active	2002 – 2011, 2015 – 2017,	2016 2017 – Present		Coach	BESTIA		pino2p, pinokun	$193	Global Offensive		62
restik	"Genaro ""restik"" Hokama (born December 2, 1998) is an Argentinian professional Counter-Strike: Global Offensive player."	Genaro Manuel Hokama		Argentina	December  2, 1998 (age 24)	Active	2016 – Present			support	WINDINGO		restikk9	$5,126	Global Offensive		62
reversive	"Roberto ""reversive"" Themtham (born July 15, 1992) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Roberto Carlos Themtham		Argentina	July 15, 1992 (age 31)	Active	2011 – Present					Pastor	RVS, revers1ve, RVS10	$34,443	Global Offensive		62
Rew4z	"Hugo ""Rew4z"" Cáceres (born November 22, 1987) is an Argentine professional Counter-Strike: Global Offensive coach and analyst and former professional CS:GO and Counter-Strike player."	Hugo Cáceres		Argentina	November 22, 1987 (age 35)	Active	2004 – 2013	2013 – 2018, 2020 – 2021, 2022 – Present					Rewiz, Huguiz	$2,111	Global Offensive		62
rox	"Martin ""rox"" Molina (formerly known as Hizook4) (born September 15, 2002) is an Argentine professional Counter-Strike: Global Offensive player."	Martin Molina		Argentina	September 15, 2002 (age 21)	Active	2018 - Present			Rifler			Hizook4, Agent ROX	$31,070	Global Offensive		62
RUGO	"Lorenzo ""RUGO"" Rugo (born December 14, 1999) is an Argentinian professional Counter-Strike: Global Offensive coach and former player."	Lorenzo Rugo		Argentina	December 14, 1999 (age 23)	Active	2020	2021 – Present		Coach	Boca Juniors Gaming				Global Offensive		62
rushardo	"Francisco ""rushardo"" Massaro (born March 3, 2000) is an Argentine professional Counter-Strike: Global Offensive player."	Francisco Massaro		Argentina	March  3, 2000 (age 23)	Active	2019 – Present				EBRO		rsrd, puma rs	$2,779	Global Offensive		62
sheep	"Maximiliano ""sheep"" Miozzo (born August 9, 1988) is an Argentinian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Maximiliano Miozzo		Argentina	August  9, 1988 (age 35)	Active	2005 – Present			lurker	Belgrano Esports			$2,542	Global Offensive		62
Straka	"Nahuel ""Straka"" Vazquez (born February 8, 1997) is an Argentine professional Counter-Strike: Global Offensive player."	Nahuel Vazquez		Argentina	February  8, 1997 (age 26)	Active	2015 – Present			lurker				$11,933	Global Offensive		62
tom1jed	"Tomas ""tom1jed"" Rivero (born November 14, 2002) is an Argentine professional Counter-Strike: Global Offensive player."	Tomas Rivero		Argentina	November 14, 2002 (age 20)	Active	2018 – Present				LRV Esports		tom1	$10,036	Global Offensive		62
tomaszin	"Martín ""tomaszin"" Corna (born February 15, 2004) is an Argentinian professional Counter-Strike: Global Offensive player for BESTIA."	Martín Tomás Corna		Argentina	February 15, 2004 (age 19)	Active	2020 – Present			lurker	BESTIA			$16,861	Global Offensive		62
try	"Santino ""try"" Rigal (born September 23, 2004) is an Argentine professional Counter-Strike: Global Offensive player."	Santino Rigal		Argentina	September 23, 2004 (age 19)	Active	2018 – Present			AWPer	9z Team		tryzinn, 7ry	$56,205	Global Offensive		62
vlad	"Vladimir ""vlad"" Bancalari (formerly known as xVlaD) (born November 16, 2001) is an Argentine professional Counter-Strike: Global Offensive player and former coach."	Vladimir Bancalari		Argentina	November 16, 2001 (age 21)	Active	2020 – 2022, 2023 – Present	2018 – 2019, 2023		In-game leader	Daotsu Esports		xVlaD	$150	Global Offensive		62
Xiguinilster	"Pablo ""Xiguinilster"" Páez (born February 16, 1998) is an Argentinian professional Counter-Strike: Global Offensive coach."	Pablo Adrian Páez Ortega		Argentina	February 16, 1998 (age 25)	Active		2019 – Present		Coach	Daotsu Esports				Global Offensive		62
Zote	"Julian ""Zote"" Acosta is an Argentine professional Counter-Strike: Global Offensive analyst and former Counter-Strike: Global Offensive and Counter-Strike player."	Julian Acosta		Argentina		Active	2007 – 2021		2022 – Present		BESTIA		Zorsei	$12,196	Global Offensive		62
ADK	"Akram ""ADK"" Smida (born March 8, 2001) is an Australian professional Counter-Strike: Global Offensive player. In October 2020, ADK received a 12-month ban from all ESIC member events starting October 23rd, 2020 for betting offenses. This ban was later extended to 24 months after new evidence was revealed."	Akram Smida		Australia	March  8, 2001 (age 22)	Active	2017 – Present			AWPer	Rooster		jhdrock, jhd, adking	$8,268	Global Offensive		51
aliStair	"Alistair ""aliStair"" Johnston (born April 7, 1998) is an Australian professional Counter-Strike: Global Offensive player who plays for Grayhound Gaming as the AWPer."	Alistair Johnston		Australia	April  7, 1998 (age 25)	Active	2015 – Present			AWPer	Grayhound Gaming			$73,688	Global Offensive		51
apoc	"Mike ""apoc"" Aliferis (born October 9, 1987) is an Australian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Mike Aliferis		Australia	October  9, 1987 (age 36)	Active	2006 – 2010, 2013 – Present			support			moku, ap0c, ap0cdud	$32,956	Global Offensive		51
apocdud	"Tom ""apocdud"" Henry (born January 31, 1999) is an Australian professional Counter-Strike: Global Offensive player."	Tom Henry		Australia	January 31, 1999 (age 24)	Active	2016 – Present							$13,224	Global Offensive		51
asap	"Tyson ""asap"" Paterson (born May 1, 2003) is an Australian professional Counter-Strike: Global Offensive player."	Tyson Paterson		Australia	May  1, 2003 (age 20)	Active	2019 – Present			Rifler	Rooster			$8,212	Global Offensive		51
AZR	"Aaron ""AZR"" Ward (born October 2, 1992) is an Australian professional Counter-Strike: Global Offensive player of Filipino descent. He started his professional career with Vox Eminor before the team was picked up in 2015 by Renegades, and later in late 2020, by 100 Thieves. AZR currently resides in Denmark."	Aaron Christian Charles Ward		Australia	October  2, 1992 (age 31)	Active	2013 – Present							$219,028	Global Offensive		51
BiBiAhn	"Vivienne ""BiBiAhn"" Quach (born December 5, 2002) is an Australian professional Counter-Strike: Global Offensive player."	Vivienne Quach		Australia	December  5, 2002 (age 20)	Active	2019 – Present			entry fragger	FlyQuest RED			$9,505	Global Offensive		51
BL1TZ	"Peter ""BL1TZ"" Athanasatos (born October 14, 1992) is an Australian professional Counter-Strike: Global Offensive player."	Peter Athanasatos		Australia	October 14, 1992 (age 30)	Active	2016 – Present						bl0jtz	$18,062	Global Offensive		51
BRACE	"Toby ""BRACE"" Barnes (born August 17, 1999) is an Australian professional Counter-Strike: Global Offensive player who currently plays for VERTEX Esports Club."	Toby Barnes		Australia	August 17, 1999 (age 24)	Active	2016 – Present				VERTEX Esports Club			$10,813	Global Offensive		51
dangeR	"Sharvesh ""dangeR"" Saravanan (born May 2, 2000) is an Australian professional Counter-Strike: Global Offensive player."	Sharvesh Saravanan		Australia	May  2, 2000 (age 23)	Active	2016 – Present			Rifler	Mindfreak			$6,444	Global Offensive		51
DannyG	"Daniel ""DannyG"" Giusa is an Australian professional Counter-Strike: Global Offensive player."	Daniel Giusa		Australia		Active	2018 – Present			Rifler				$5,629	Global Offensive		51
DANZ	"Daniel ""DANZ"" Whitfield (born February 18, 1994) is an Australian professional Counter-Strike: Global Offensive player."	Daniel Whitfield		Australia	February 18, 1994 (age 29)	Active	2014 – Present						DANZ4L	$2,349	Global Offensive		51
dexter	"Christopher ""dexter"" Nong (born August 15, 1994) is an Australian professional Counter-Strike: Global Offensive player for Fnatic. He resides in Hamburg, Germany.  Prior to joining his former team MOUZ in February 2021, dexter most famously played as part of the Grayhound-Renegades Oceanian core."	Christopher Nong		Australia	August 15, 1994 (age 29)	Active	2015 – Present				Fnatic			$188,060	Global Offensive		51
ekul	"Luke ""ekul"" Blakey (born March 4, 1995) is an Australian professional Counter-Strike: Global Offensive player."	Luke Blakey		Australia	March  4, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			AWPer				$5,130	Global Offensive		51
gump	"Maclane ""gump"" Cross (born December 29, 2003) is an Australian professional Counter-Strike: Global Offensive player."	Maclane Cross		Australia	December 29, 2003 (age 19)	Active	2019 – Present			Rifler	Revenant Esports		Gumpton	$12,389	Global Offensive		51
Hatz	"Jordan ""Hatz"" Bajic (born June 20, 1998) is an Australian professional Counter-Strike: Global Offensive player."	Jordan Bajic		Australia	June 20, 1998 (age 25)	Active	2015 – Present			entry fragger			hatzau	$72,518	Global Offensive		51
HaZR	"Jared ""HaZR"" O'Bree (born December 8, 2001) is an Australian professional Counter-Strike: Global Offensive player."	Jared O'Bree		Australia	December  8, 2001 (age 21)	Active	2016 – Present				VERTEX Esports Club			$26,735	Global Offensive		51
HUGHMUNGUS	"Hugh ""HUGHMUNGUS"" Anderson (formerly known as stat) (born March 31, 2000) is an Australian professional Counter-Strike: Global Offensive player."	Hugh Anderson		Australia	March 31, 2000 (age 23)	Active	2016 – Present			Rifler			stat	$15,181	Global Offensive		51
InfrequeNt	"Jesse ""InfrequeNt"" Barker (born September 28, 1994) is an Inactive Australian professional Counter-Strike: Global Offensive player. He previously retired in 2019 before returning to activity in 2022."	Jesse Barker		Australia	September 28, 1994 (age 29)	Inactive	2015 – 2019, 2022			AWPer				$15,344	Global Offensive		51
INS	"Joshua ""INS"" Potter (born September 22, 1998) is an Australian professional Counter-Strike: Global Offensive player for Grayhound Gaming."	Joshua Potter		Australia	September 22, 1998 (age 25)	Active	2015 – Present				Grayhound Gaming		inseNse	$92,123	Global Offensive		51
J1rah	"Jireh ""J1rah"" Youakim (born May 1, 2000) is an Australian professional Counter-Strike: Global Offensive player."	Jireh Youakim		Australia	May  1, 2000 (age 23)	Active	2016 – Present						SniperInHD	$24,562	Global Offensive		51
James	"James ""James"" Quinn (born March 22, 1994) is a Australian professional Counter-Strike: Global Offensive player."	James Quinn		Australia	March 22, 1994 (age 29)	Active	2014 – 2019, 2022 – Present				Antic Esports			$11,967	Global Offensive		51
Jinxx	"Chris ""Jinxx"" Moseley (born April 27, 1997) is an Australian professional Counter-Strike: Global Offensive player."	Chris Moseley		Australia	April 27, 1997 (age 26)	Active	2016 – 2020, 2022 – Present			Rifler			Xxnij, jNx	$4,375	Global Offensive		51
jks	"Justin ""jks"" Savage (born December 12, 1995) is an Australian professional Counter-Strike: Global Offensive player for G2 Esports and a former semi-professional Counter-Strike player."	Justin Savage		Australia	December 12, 1995 (age 27)	Active	2010 – Present			Rifler	G2 Esports			$663,757	Global Offensive		51
jokes	"Sam ""jokes"" Molan (born January 7, 1997) is a Australian professional Counter-Strike: Global Offensive player."	Sam Molan		Australia	January  7, 1997 (age 26)	Active	2015 – 2017, 2022 – Present				Antic Esports			$3,835	Global Offensive		51
